PWS ID,PWS Name,Contaminant,MCL,Location Has a Full Set of Results,Average Above MCL,Average Result,Facility ID,Facility Name,Sample Point ID,Sample Point Name,PWS Size,Facility Water Type,Sample Point Type,EPA Region,State
010106001,Mashantucket Pequot Water System,PFOA,0.0040 æg/L,Y,Y,0.0053,00006,MPTN WTP,TP1,Entry point to Dist. System,L,GU,EP,Region 1,01
AK2210906,MOA MUNICIPALITY OF ANCHORAGE,PFOA,0.0040 æg/L,Y,Y,0.0046,47660,Well #13 TP,37153,Well #13 DS EP,L,GW,EP,Region 10,AK
AL0000013,"MARBURY WATER SYSTEM, INC.",PFOA,0.0040 æg/L,Y,Y,0.012,20001,Five Star,EP001,Five Star,S,SW,EP,Region 4,AL
AL0000013,"MARBURY WATER SYSTEM, INC.",PFOS,0.0040 æg/L,Y,Y,0.016,20001,Five Star,EP001,Five Star,S,SW,EP,Region 4,AL
AL0000023,NORTH BALDWIN UTILITIES,PFOS,0.0040 æg/L,Y,Y,0.0094,90102,Well 2 TP,RT01,Gnrtd Routine SP,L,GW,EP,Region 4,AL
AL0000023,NORTH BALDWIN UTILITIES,PFOS,0.0040 æg/L,Y,Y,0.011,90105,Well 5 TP,RT01,Gnrtd Routine SP,L,GW,EP,Region 4,AL
AL0000180,BEULAH UTILITIES DISTRICT,PFOA,0.0040 æg/L,Y,Y,0.0064,20001,Consecutive Connection,EP001,NC Lee Road 390 Entry Point,S,SW,EP,Region 4,AL
AL0000262,THOMASVILLE WATER WORKS & SEWER BOARD,PFOA,0.0040 æg/L,Y,Y,0.0081,TP101,THOMASVILLE WATER WORKS & SEWER BOARD,RT01,THOMASVILLE TREATMENT PLANT,S,SW,EP,Region 4,AL
AL0000262,THOMASVILLE WATER WORKS & SEWER BOARD,PFOS,0.0040 æg/L,Y,Y,0.012,TP101,THOMASVILLE WATER WORKS & SEWER BOARD,RT01,THOMASVILLE TREATMENT PLANT,S,SW,EP,Region 4,AL
AL0000314,COLBERT COUNTY RURAL WATER SYSTEM,PFOA,0.0040 æg/L,Y,Y,0.01,08154,Water TP,EP001,Entry Point to Dist. System,L,SW,EP,Region 4,AL
AL0000314,COLBERT COUNTY RURAL WATER SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.017,08154,Water TP,EP001,Entry Point to Dist. System,L,SW,EP,Region 4,AL
AL0000314,COLBERT COUNTY RURAL WATER SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.0066,08155,Tuscumbia,EP002,Tuscumbia Meter,L,GU,EP,Region 4,AL
AL0000314,COLBERT COUNTY RURAL WATER SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.0043,08156,Iuka,EP003,Iuka Meter,L,GU,EP,Region 4,AL
AL0000314,COLBERT COUNTY RURAL WATER SYSTEM,PFOA,0.0040 æg/L,Y,Y,0.011,08158,Muscle Shoals,EP005,Muscle Shoals Meter,L,SW,EP,Region 4,AL
AL0000314,COLBERT COUNTY RURAL WATER SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.018,08158,Muscle Shoals,EP005,Muscle Shoals Meter,L,SW,EP,Region 4,AL
AL0000314,COLBERT COUNTY RURAL WATER SYSTEM,PFOA,0.0040 æg/L,Y,Y,0.011,08159,Cherokee,EP006,North Pike Meter,L,SW,EP,Region 4,AL
AL0000314,COLBERT COUNTY RURAL WATER SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.018,08159,Cherokee,EP006,North Pike Meter,L,SW,EP,Region 4,AL
AL0000314,COLBERT COUNTY RURAL WATER SYSTEM,PFOA,0.0040 æg/L,Y,Y,0.0051,08160,Hawk Pride,EP007,Hawk Pride Meter,L,GU,EP,Region 4,AL
AL0000314,COLBERT COUNTY RURAL WATER SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.0082,08160,Hawk Pride,EP007,Hawk Pride Meter,L,GU,EP,Region 4,AL
AL0000540,HOLTVILLE WATER SYSTEM,PFOA,0.0040 æg/L,Y,Y,0.014,CC007,HOLTVILLE WATER SYSTEM,RT01,FIVE STAR,S,SW,EP,Region 4,AL
AL0000540,HOLTVILLE WATER SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.015,CC007,HOLTVILLE WATER SYSTEM,RT01,FIVE STAR,S,SW,EP,Region 4,AL
AL0000577,GADSDEN WATER WORKS AND SEWER BOARD,PFOA,0.0040 æg/L,Y,Y,0.023,90101,Water TP,RT01,Coosa River,L,SW,EP,Region 4,AL
AL0000577,GADSDEN WATER WORKS AND SEWER BOARD,PFOS,0.0040 æg/L,Y,Y,0.023,90101,Water TP,RT01,Coosa River,L,SW,EP,Region 4,AL
AL0000751,IRONDALE WATER SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.038,TP102,IRONDALE WATER SYSTEM,RT01,WELL 2 + TREATMENT PLANT,L,GW,EP,Region 4,AL
AL0000751,IRONDALE WATER SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.0085,TP105,IRONDALE WATER SYSTEM,RT01,"TREATMENT PLANT FOR WELLS 5, 6, & 7",L,GW,EP,Region 4,AL
AL0000783,FLORENCE WATER-WASTEWATER DEPARTMENT,PFOA,0.0040 æg/L,Y,Y,0.0061,90102,Wilson Lake & TP,RT01,Entry Point to Dist. System,L,SW,EP,Region 4,AL
AL0000783,FLORENCE WATER-WASTEWATER DEPARTMENT,PFOS,0.0040 æg/L,Y,Y,0.013,90102,Wilson Lake & TP,RT01,Entry Point to Dist. System,L,SW,EP,Region 4,AL
AL0000816,OPELIKA UTILITIES,PFOA,0.0040 æg/L,Y,Y,0.0077,90102,R.A. Betts Water TP,RT01,Halawakee Creek/Entry Point to Dist. System,L,SW,EP,Region 4,AL
AL0000816,OPELIKA UTILITIES,PFOS,0.0040 æg/L,Y,Y,0.0057,90102,R.A. Betts Water TP,RT01,Halawakee Creek/Entry Point to Dist. System,L,SW,EP,Region 4,AL
AL0000882,HUNTSVILLE UTILITIES,PFOS,0.0040 æg/L,Y,Y,0.0077,90109,Lincoln/Dallas Plant,RT01,Gnrtd Routine SP,L,GW,EP,Region 4,AL
AL0001420,ARDMORE WATER SYSTEM,PFOA,0.0040 æg/L,Y,Y,0.0054,TP101,ARDMORE WATER SYSTEM,RT01,WELL #1 TREATMENT PLANT FINISHED,S,GW,EP,Region 4,AL
AL0001420,ARDMORE WATER SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.011,TP101,ARDMORE WATER SYSTEM,RT01,WELL #1 TREATMENT PLANT FINISHED,S,GW,EP,Region 4,AL
AL0001420,ARDMORE WATER SYSTEM,PFOA,0.0040 æg/L,Y,Y,0.0047,TP103,ARDMORE WATER SYSTEM,RT01,WELL #3 TREATMENT PLANT FINISHED,S,GW,EP,Region 4,AL
AL0001420,ARDMORE WATER SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.01,TP103,ARDMORE WATER SYSTEM,RT01,WELL #3 TREATMENT PLANT FINISHED,S,GW,EP,Region 4,AL
AL0001439,SOUTH MARENGO CO WATER & FIRE PRO AUTH,PFOA,0.0040 æg/L,Y,Y,0.0069,00001,Entry Point Facility,CC001,PINE HILL,S,SW,EP,Region 4,AL
AL0001439,SOUTH MARENGO CO WATER & FIRE PRO AUTH,PFOS,0.0040 æg/L,Y,Y,0.011,00001,Entry Point Facility,CC001,PINE HILL,S,SW,EP,Region 4,AL
AZ0403003,ARIZONA WATER CO - SEDONA,PFOA,0.0040 æg/L,Y,Y,0.0097,08759,EPDS 004,EPDS004,EPDS 004,L,GW,EP,Region 9,AZ
AZ0403003,ARIZONA WATER CO - SEDONA,PFOS,0.0040 æg/L,Y,Y,0.0052,08759,EPDS 004,EPDS004,EPDS 004,L,GW,EP,Region 9,AZ
AZ0404008,GLOBE CITY OF,Hazard Index (HI),1 (unitless),Y,Y,2,20002,Sampling Station,EP002,Pine St. Sample Tap,S,GW,EP,Region 9,AZ
AZ0404008,GLOBE CITY OF,PFHxS,0.01 æg/L,Y,Y,0.02,20002,Sampling Station,EP002,Pine St. Sample Tap,S,GW,EP,Region 9,AZ
AZ0404008,GLOBE CITY OF,PFOS,0.0040 æg/L,Y,Y,0.0095,20002,Sampling Station,EP002,Pine St. Sample Tap,S,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOA,0.0040 æg/L,Y,Y,0.0042,08928,North Rumsey Park Well,EPDS006,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOA,0.0040 æg/L,Y,Y,0.018,08929,Woodland Meadows #1 Well,EPDS007,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOS,0.0040 æg/L,Y,Y,0.0082,08929,Woodland Meadows #1 Well,EPDS007,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOA,0.0040 æg/L,Y,Y,0.0086,08930,New McKamey Street Well,EPDS008,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOS,0.0040 æg/L,Y,Y,0.014,08930,New McKamey Street Well,EPDS008,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOA,0.0040 æg/L,Y,Y,0.029,08931,Mountain View Well,EPDS009,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOS,0.0040 æg/L,Y,Y,0.028,08931,Mountain View Well,EPDS009,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
