latitude	longitude	city	state
13.68698	100.609881	กรุงเทพมหานคร	
13.690787	100.60906	กรุงเทพมหานคร	
13.699518	100.605383	กรุงเทพมหานคร	
13.711378	100.597386	กรุงเทพมหานคร	
13.715302	100.591672	กรุงเทพมหานคร	
13.748105	100.541417	กรุงเทพมหานคร	
1.493482	124.870189	Manado	Sulawesi Utara
16.735957	76.5779	Yevura	Karnataka
18.059533	-76.126374		
18.418189	-66.319109	Vega Alta	Puerto Rico
18.457533	-69.950141	Santo Domingo de Guzmán	Distrito Nacional
18.459526	-69.906229	Santo Domingo de Guzmán	Distrito Nacional
18.461475	-69.935051	Santo Domingo de Guzmán	Distrito Nacional
18.462206	-69.906549	Santo Domingo de Guzmán	Distrito Nacional
18.462837	-69.936442	Santo Domingo de Guzmán	Distrito Nacional
18.47597	-69.90794	Santo Domingo de Guzmán	Distrito Nacional
18.478645	-69.906898	Santo Domingo de Guzmán	Distrito Nacional
18.481204	-69.948926	Santo Domingo de Guzmán	Distrito Nacional
18.484637	-69.863997	Santo Domingo Este	Santo Domingo
18.50581	-69.855863	Santo Domingo Este	Santo Domingo
18.509226	-69.849001	Santo Domingo Este	Santo Domingo
18.509328	-69.840151	Santo Domingo Este	Santo Domingo
18.519477	-69.84391	Santo Domingo Este	Santo Domingo
18.527978	-69.907705	Villa Mella	Santo Domingo
18.53842	-69.900548	Villa Mella	Santo Domingo
19.042486	72.863794	Mumbai City	Maharashtra
20.47973	-86.9735	San Miguel de Cozumel	Quintana Roo
20.4808	-86.97545	San Miguel de Cozumel	Quintana Roo
21.80642	-112.15027	None	None
-22.906955	-43.182587	Rio de Janeiro	Rio de Janeiro
24.558114	-81.806337	Key West	Florida
24.560291	-81.796144	Key West	Florida
24.697006	46.684402	الرياض	منطقة الرياض
24.697564	46.688493	الرياض	منطقة الرياض
24.709037	46.664826		منطقة الرياض
24.709314	46.673358	الرياض	منطقة الرياض
24.725621	46.65463		منطقة الرياض
24.72938	46.652921		منطقة الرياض
25.025471	121.420683	新北市	
25.054757	-77.356278	Nassau	
25.42433	-80.510441	Homestead	Florida
25.425981	-80.458075	Florida City	Florida
25.431124	-100.958453	Saltillo	Coahuila
25.445025	-80.455133	Homestead	Florida
25.464929	-80.461059	Homestead	Florida
25.479077	-80.437272	Homestead	Florida
25.487535	-80.458382	Leisure City	Florida
25.514104	-80.40491	Homestead	Florida
25.515865	-80.412525	Naranja	Florida
25.548135	-80.361859		Florida
25.549668	-80.363013	Princeton	Florida
25.562256	-80.349999	Cutler Bay	Florida
25.564364	-80.396274	Miami	Florida
25.565136	-80.384401	Miami	Florida
25.565241	-80.364198	Goulds	Florida
25.571267	-100.277912	Monterrey	Nuevo León
25.572436	-102.99616	San Juan de Villanueva	Coahuila
25.573281	-80.364624	Cutler Bay	Florida
25.577507	-80.397169		Florida
25.57757	-80.397098		Florida
25.578697	-80.366582	Cutler Bay	Florida
25.57895	-80.384662		Florida
25.578996	-80.384583		Florida
25.581199	-80.362421	Cutler Bay	Florida
25.582922	-80.471904		Florida
25.587695	-80.379636	Miami	Florida
25.588291	-80.373978		Florida
25.58973	-100.275703	Monterrey	Nuevo León
25.59176	-80.368508	Cutler Bay	Florida
25.595041	-80.345604	Cutler Bay	Florida
25.595655	-80.372342		Florida
25.59655	-80.369223	Cutler Bay	Florida
25.596949	-80.393267		Florida
25.596958	-100.265151	Monterrey	Nuevo León
25.598832	-100.260515	Monterrey	Nuevo León
25.602917	-80.383299		Florida
25.603322	-80.426264		Florida
25.603531	-80.406536		Florida
25.605356	-80.436288		Florida
25.606018	-80.347567	Miami	Florida
25.607057	-80.345462	Palmetto Bay	Florida
25.607073	-80.35521		Florida
25.610834	-80.352195	Palmetto Bay	Florida
25.614222	-80.483381		Florida
25.61422	-80.37766		Florida
25.615279	-80.363305		Florida
25.6183	-80.344408	Palmetto Bay	Florida
25.618425	-80.351613	Palmetto Bay	Florida
25.619208	-80.380845		Florida
25.619511	-80.349654	Palmetto Bay	Florida
25.621103	-80.374285		Florida
25.622207	-80.344836	Miami	Florida
25.622941	-100.273898	Monterrey	Nuevo León
25.623404	-80.417593		Florida
25.623448	-80.419489		Florida
25.624749	-80.380636		Florida
25.62566	-80.36584		Florida
25.62574	-80.36598		Florida
25.6257	-80.36581		Florida
25.62582	-80.3659		Florida
25.62589	-80.36577		Florida
25.626252	-80.480414		Florida
25.626257	-80.443167		Florida
25.62732	-80.439363		Florida
25.628123	-80.340365	Palmetto Bay	Florida
25.628232	-80.373071		Florida
25.628765	-80.355108		Florida
25.629461	-80.415057	Miami	Florida
25.631537	-80.384563		Florida
25.636341	-80.424676		Florida
25.636891	-100.361781	San Pedro Garza García	Nuevo León
25.636957	-80.38896		Florida
25.637698	-100.382137	San Pedro Garza García	Nuevo León
25.637699	-100.381929	San Pedro Garza García	Nuevo León
25.638965	-100.375232	San Pedro Garza García	Nuevo León
25.640487	-100.333434	San Pedro Garza García	Nuevo León
25.640802	-100.361199	San Pedro Garza García	Nuevo León
25.640847	-100.380534	San Pedro Garza García	Nuevo León
25.640893	-80.334001	Palmetto Bay	Florida
25.642232	-80.377615		Florida
25.642935	-100.383277	San Pedro Garza García	Nuevo León
25.643519	-100.324999	San Pedro Garza García	Nuevo León
